Date,Open,High,Low,Close
12/2025,"6,812.30","6,903.46","6,720.43","6,774.76"
11/2025,"6,882.32","6,882.32","6,521.92","6,849.09"
10/2025,"6,664.92","6,920.34","6,550.78","6,840.20"
09/2025,"6,401.51","6,699.52","6,360.58","6,688.46"
08/2025,"6,287.28","6,508.23","6,212.69","6,460.26"
07/2025,"6,187.25","6,427.02","6,177.97","6,339.39"
06/2025,"5,896.68","6,215.08","5,861.43","6,204.95"
05/2025,"5,625.14","5,968.61","5,578.64","5,911.69"
04/2025,"5,597.53","5,695.31","4,835.04","5,569.06"
03/2025,"5,968.33","5,986.09","5,488.73","5,611.85"
02/2025,"5,969.65","6,147.43","5,837.66","5,954.50"
01/2025,"5,903.26","6,128.18","5,773.31","6,040.53"
12/2024,"6,047.65","6,070.67","5,832.30","5,881.63"
